id,title,indexed,bgcov,n_mb_works
airmail-to-heaven,Airmail to Heaven,0,0,0
air-that-i-breathe,Air That I Breathe,0,0,2
a-jukebox-with-a-country-song,A Jukebox With a Country Song,0,0,1
a-king-without-a-queen,A King Without A Queen,0,0,1
a-kiss-and-the-keys,A Kiss And The Keys,0,0,0
alabam,Alabam,0,3,1
alabama,Alabama,0,3,17
alabama-bound,Alabama Bound,1,10,1
alabama-clay,Alabama Clay,0,1,1
alabama-gals,Alabama Gals,0,3,0
alabama-jig,Alabama Jig,0,0,0
alabama-joe,Alabama Joe,0,0,0
alabama-jubilee,Alabama Jubilee,1,15,2
alabama-rose,Alabama Rose,0,0,1
alabama-shuffle-buck-and-wing-dance,Alabama Shuffle Buck and Wing Dance,0,0,0
alabama-sky,Alabama Sky,0,0,1
alabama-waltz,Alabama Waltz,0,3,1
alabama-woman,Alabama Woman,0,0,0
a-lady-in-your-life,A Lady in Your Life,0,0,1
a-lady-like-you,A Lady Like You,0,0,4
alberta,Alberta,1,2,10
alcatraz-blues,Alcatraz Blues,1,0,0
alcohol-love,Alcohol Love,0,0,0
alcohol-of-fame,Alcohol Of Fame,0,2,1
alcohol-of-fame-1,Alcohol of Fame,0,2,1
a-letter-from-home,A Letter From Home,0,2,10
a-letter-from-shirley-miller,A Letter From Shirley Miller,0,0,0
a-letter-to-my-heart,A Letter To My Heart,0,0,1
a-letter-to-tom,A Letter To Tom,0,3,1
alexander-waltz,Alexander Waltz,0,0,0
alexis-from-texas,Alexis From Texas,0,0,0
alibis,Alibis,0,0,7
alibis-1,Alibis,0,0,7
alice-in-wonderland,Alice In Wonderland,0,0,15
alien,Alien,0,0,90
a-life-of-sorrow,A Life Of Sorrow,1,4,1
a-lifetime-isn-t-long-enough,A Lifetime isn't Long Enough,0,0,0
a-lifetime-to-regret,A Lifetime To Regret,0,0,1
alimony,Alimony,0,1,3
a-little-at-a-time,A Little At A Time,1,9,6
a-little-at-a-time-1,A Little At A Time,0,9,6
a-little-bit-crazy,A Little Bit Crazy,0,0,1
a-little-bit-in-love,A Little Bit In Love,0,2,1
a-little-bit-later-on-down-the-line,A Little Bit Later On Down The Line,0,0,1
a-little-bit-lonesome,A Little Bit Lonesome,0,0,1
a-little-bit-of-heaven,A Little Bit of Heaven,1,0,7
a-little-bit-south-of-saskatoon,A Little Bit South Of Saskatoon,0,0,0
a-little-bitty-tear,A Little Bitty Tear,0,0,1
a-little-bluer-than-that,A Little Bluer Than That,0,1,1
a-little-boy-called-joe,A Little Boy Called Joe,0,1,0
a-little-feeling,A Little Feeling,0,0,0
a-little-getting-used-to,A Little Getting Used To,0,0,0
a-little-good-news,A Little Good News,0,0,1
a-little-guy-called-joe,A Little Guy Called Joe,0,0,0
a-little-heartache,A Little Heartache,0,0,0
a-little-heaven-s-rubbing-off-on-me,A Little Heaven's Rubbing Off On Me,0,0,0
a-little-late-to-say-goodbye,A Little Late To Say Goodbye,0,0,0
a-little-left-over,A Little Left Over,0,1,1
a-little-more-like-me,A Little More Like Me,0,0,0
a-little-of-you,A Little Of You,0,0,1
a-little-old-fashioned-karma,A Little Old Fashioned Karma,0,0,1
a-little-old-wine-drinker-me,A Little Old Wine Drinker Me,0,0,0
a-little-piece-at-a-time,A Little Piece At A Time,0,0,0
a-little-piece-of-my-heart,A Little Piece Of My Heart,0,1,1
a-little-sentimental,A Little Sentimental,0,0,1
a-little-spot-in-heaven,A Little Spot In Heaven,0,1,1
a-little-time-out,A Little Time Out,0,0,0
a-little-too-late,A Little Too Late,0,0,6
a-little-unfair,A Little Unfair,0,1,1
alive-and-alone,Alive And Alone,1,0,0
alive-and-well,Alive And Well,0,2,4
a-living-part-of-you,A Living Part of You,0,0,0
a-living-prayer,A Living Prayer,0,2,2
all-aboard,All Aboard,0,4,14
all-alone-am-i,All Alone Am I,0,1,1
all-alone-in-austin,All Alone In Austin,0,0,1
all-alone-in-this-world-without-you,All Alone In This World Without You,0,0,1
all-american-boy,All American Boy,0,1,7
all-american-country-boy,All American Country Boy,0,1,1
all-american-dream,All American Dream,0,0,1
