id,title,source,nt,bg,std,crank,tags,mbcov
a-little-boy-called-joe,A Little Boy Called Joe,classic-country,little boy called joe,True,False,0,JamFriendly|Bluegrass,1
a-little-feeling,A Little Feeling,classic-country,little feeling,False,False,0,JamFriendly|Rockabilly,0
a-little-getting-used-to,A Little Getting Used To,classic-country,little getting used to,False,False,0,ClassicCountry|NashvilleSound,0
a-little-good-news,A Little Good News,classic-country,little good news,False,False,3,ClassicCountry|Pop|JamFriendly|NashvilleSound,2
a-little-guy-called-joe,A Little Guy Called Joe,classic-country,little guy called joe,False,False,0,JamFriendly|ClassicCountry,11
a-little-heartache,A Little Heartache,classic-country,little heartache,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,0
a-little-heaven-s-rubbing-off-on-me,A Little Heaven's Rubbing Off On Me,classic-country,little heavens rubbing off on me,False,False,0,ClassicCountry|JamFriendly,0
a-little-late-to-say-goodbye,A Little Late To Say Goodbye,classic-country,little late to say goodbye,False,False,0,ClassicCountry|JamFriendly,9
a-little-left-over,A Little Left Over,classic-country,little left over,True,False,0,ClassicCountry|Bluegrass|JamFriendly,1
a-little-more-like-me,A Little More Like Me,classic-country,little more like me,False,False,0,ClassicCountry|NashvilleSound,1
a-little-of-you,A Little Of You,classic-country,little of you,False,False,0,ClassicCountry,6
a-little-old-fashioned-karma,A Little Old Fashioned Karma,classic-country,little old fashioned karma,False,False,0,ClassicCountry|Outlaw|JamFriendly,1
a-little-old-wine-drinker-me,A Little Old Wine Drinker Me,classic-country,little old wine drinker me,False,False,0,Pop|JamFriendly|ClassicCountry,1
a-little-piece-at-a-time,A Little Piece At A Time,classic-country,little piece at a time,False,False,0,Modal|Rockabilly,9
a-little-piece-of-my-heart,A Little Piece Of My Heart,classic-country,little piece of my heart,False,False,0,ClassicCountry|JamFriendly,3
a-little-sentimental,A Little Sentimental,classic-country,little sentimental,False,False,5,ClassicCountry,0
a-little-spot-in-heaven,A Little Spot In Heaven,classic-country,little spot in heaven,False,False,5,ClassicCountry|JamFriendly|Gospel,1
a-little-time-out,A Little Time Out,classic-country,little time out,False,False,0,JamFriendly|ClassicCountry,4
a-little-too-late,A Little Too Late,classic-country,little too late,False,False,4,ClassicCountry|JamFriendly,4
a-little-unfair,A Little Unfair,classic-country,little unfair,False,False,8,ClassicCountry|JamFriendly|Modal|HonkyTonk,1
a-living-part-of-you,A Living Part of You,classic-country,living part of you,False,False,0,ClassicCountry|Gospel,6
a-living-prayer,A Living Prayer,classic-country,living prayer,True,False,3,Bluegrass|ClassicCountry|JamFriendly|Gospel,2
a-lonely-heart-knows,A Lonely Heart Knows,classic-country,lonely heart knows,False,False,0,ClassicCountry|JamFriendly|WesternSwing,3
a-lonely-woman,A Lonely Woman,classic-country,lonely woman,False,False,0,JamFriendly|ClassicCountry,1
a-lonesome-heart,A Lonesome Heart,classic-country,lonesome heart,False,False,0,JamFriendly|ClassicCountry,1
a-lonesome-night,A Lonesome Night,bluegrass-lyrics,lonesome night,False,False,10,ClassicCountry|JamFriendly,4
a-lonesome-road-to-travel,A Lonesome Road to Travel,classic-country,lonesome road to travel,True,False,0,JamFriendly|Bluegrass|OldTime,1
a-long-and-lasting-love,A Long And Lasting Love,classic-country,long and lasting love,False,False,5,ClassicCountry|NashvilleSound,2
a-long-time-ago,A Long Time Ago,classic-country,long time ago,False,False,45,ClassicCountry|Outlaw|JamFriendly,4
a-long-time-ago-1,A Long Time Ago,classic-country,long time ago,False,False,45,JamFriendly|ClassicCountry,4
a-long-vacation,A Long Vacation,classic-country,long vacation,False,False,4,JamFriendly|Rockabilly|Pop,0
a-long-way-from-montana,A Long Way From Montana,classic-country,long way from montana,False,False,0,ClassicCountry,2
a-loser-never-had-a-better-friend,A Loser Never Had A Better Friend,classic-country,loser never had a better friend,False,False,0,JamFriendly|ClassicCountry,4
a-loser-s-cathedral,A Loser's Cathedral,classic-country,losers cathedral,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,0
a-lot-of-good,A Lot Of Good,classic-country,lot of good,False,False,0,ClassicCountry|Outlaw|JamFriendly,0
a-love-like-that,A Love Like That,classic-country,love like that,False,False,6,JamFriendly|ClassicCountry,1
a-love-so-beautiful,A Love So Beautiful,classic-country,love so beautiful,False,False,15,Rockabilly|Pop|Modal,5
a-love-song,A Love Song,classic-country,love song,False,False,8,ClassicCountry|Modal|NashvilleSound,1
a-love-song-1,A Love Song,classic-country,love song,False,False,8,ClassicCountry|Pop|JamFriendly|NashvilleSound,1
a-loveless-marriage,A Loveless Marriage,classic-country,loveless marriage,False,False,0,ClassicCountry|JamFriendly,0
a-lover-s-quarrel,A Lover's Quarrel,classic-country,lovers quarrel,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,1
a-man-and-a-train,A Man And A Train,classic-country,man and a train,False,False,4,ClassicCountry|JamFriendly|Modal,7
a-man-called-peter,A Man Called Peter,classic-country,man called peter,False,False,0,ClassicCountry|HonkyTonk,1
a-man-i-hardly-know,A Man I Hardly Know,classic-country,man i hardly know,False,False,0,ClassicCountry|HonkyTonk|JamFriendly,1
a-man-is-on-his-own,A Man Is On His Own,classic-country,man is on his own,False,False,0,JamFriendly|ClassicCountry|Outlaw,1
a-man-like-me,A Man Like Me,classic-country,man like me,False,False,5,JamFriendly|ClassicCountry,4
a-man-who-is-wise,A Man Who Is Wise,classic-country,man who is wise,False,False,0,NashvilleSound|ClassicCountry|Gospel,1
a-mansion-for-me,A Mansion For Me,classic-country,mansion for me,True,False,0,ClassicCountry|Bluegrass|Gospel|Folk|JamFriendly,3
a-memory-away,A Memory Away,classic-country,memory away,False,False,0,JamFriendly|ClassicCountry,1
a-memory-like-i-m-gonna-be,A Memory Like I'm Gonna Be,classic-country,memory like im gonna be,False,False,0,ClassicCountry,1
a-memory-of-you,A Memory Of You,classic-country,memory of you,True,False,0,JamFriendly|Bluegrass,3
a-memory-that-just-won-t-quit,A Memory That Just Won't Quit,classic-country,memory that just wont quit,False,False,0,ClassicCountry|JamFriendly,2
a-memory-thats-all-youll-ever-be-to-me,A Memory That’s All You’ll Ever Be To Me,classic-country,memory thats all youll ever be to me,False,False,0,ClassicCountry|HonkyTonk|JamFriendly,1
a-mess-of-blues,A Mess of Blues,classic-country,mess of blues,False,False,97,Rockabilly|ClassicCountry|Pop|Gospel|JamFriendly,0
a-message-from-the-trade-winds,A Message From The Trade Winds,classic-country,message from the trade winds,False,False,0,NashvilleSound|ClassicCountry|JamFriendly,3
a-message-to-my-mother,A Message To My Mother,classic-country,message to my mother,False,False,0,JamFriendly|ClassicCountry|HonkyTonk,1
a-mi-esposa-con-amor-to-my-wife-with-love,A Mi Esposa Con Amor (To My Wife With Love),classic-country,mi esposa con amor,False,False,0,ClassicCountry|NashvilleSound,0
a-mighty-good-god,A Mighty Good God,classic-country,mighty good god,False,False,0,ClassicCountry|JamFriendly|Gospel,0
a-mile-and-a-quarter,A Mile And A Quarter,classic-country,mile and a quarter,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,1
a-million-and-one,A Million And One,classic-country,million and one,False,False,8,JamFriendly|ClassicCountry,4
a-million-miles-from-nowhere,A Million Miles From Nowhere,classic-country,million miles from nowhere,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,1
a-million-miles-from-your-heart,A Million Miles From Your Heart,classic-country,million miles from your heart,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,3
a-million-miles-to-the-city,A Million Miles To The City,classic-country,million miles to the city,False,False,7,ClassicCountry|JamFriendly,1
a-million-more,A Million More,classic-country,million more,False,False,3,ClassicCountry|Pop|NashvilleSound,0
a-million-old-goodbyes,A Million Old Goodbyes,classic-country,million old goodbyes,False,False,0,ClassicCountry|Outlaw,2
a-million-teardrops,A Million Teardrops,classic-country,million teardrops,False,False,0,ClassicCountry|JamFriendly|Rockabilly,0
a-million-tears-from-now,A Million Tears From Now,classic-country,million tears from now,False,False,0,JamFriendly|ClassicCountry,2
a-million-to-one,A Million To One,classic-country,million to one,False,False,11,ClassicCountry|JamFriendly,4
